Wavelength,Intensity
6.146271999999999935e+03,1.400000000000000000e+01
6.147453999999999724e+03,4.300000000000000000e+01
6.148787999999999556e+03,2.300000000000000000e+01
6.154118999999999687e+03,0.000000000000000000e+00
6.159060000000000400e+03,3.000000000000000000e+01
6.159840000000000146e+03,0.000000000000000000e+00
6.163248999999999796e+03,1.400000000000000000e+01
6.167059000000000196e+03,0.000000000000000000e+00
6.168579999999999927e+03,2.900000000000000000e+01
6.170871000000000095e+03,1.600000000000000000e+01
6.172043999999999869e+03,1.500000000000000000e+01
6.177072000000000116e+03,1.900000000000000000e+01
6.178548999999999978e+03,0.000000000000000000e+00
6.178885000000000218e+03,4.500000000000000000e+01
6.179848799999999756e+03,1.600000000000000000e+02
6.180042999999999665e+03,7.000000000000000000e+00
6.184390000000000327e+03,1.200000000000000000e+02
6.184469000000000051e+03,3.000000000000000000e+01
6.184736799999999675e+03,3.500000000000000000e+02
6.188053100000000086e+03,1.400000000000000000e+02
6.189417000000000371e+03,0.000000000000000000e+00
6.193856300000000374e+03,5.700000000000000000e+02
6.193978000000000065e+03,0.000000000000000000e+00
6.194314999999999600e+03,0.000000000000000000e+00
6.196396499999999833e+03,2.000000000000000000e+02
6.199062299999999595e+03,4.700000000000000000e+01
6.200432600000000093e+03,3.700000000000000000e+02
6.200551000000000386e+03,0.000000000000000000e+00
6.204128099999999904e+03,1.400000000000000000e+02
6.204768000000000029e+03,2.300000000000000000e+01
6.205256099999999606e+03,1.200000000000000000e+02
6.206819999999999709e+03,0.000000000000000000e+00
6.207476999999999862e+03,3.000000000000000000e+01
6.211606999999999971e+03,0.000000000000000000e+00
6.211662999999999556e+03,4.500000000000000000e+01
6.213654700000000048e+03,5.000000000000000000e+01
6.221578700000000026e+03,9.500000000000000000e+01
6.223520199999999932e+03,1.300000000000000000e+02
6.226627400000000307e+03,9.000000000000000000e+01
6.226935000000000400e+03,3.200000000000000000e+01
6.231122699999999895e+03,1.300000000000000000e+02
6.231380799999999908e+03,1.900000000000000000e+02
6.232974500000000262e+03,4.000000000000000000e+02
6.234296999999999571e+03,2.500000000000000000e+01
6.235354999999999563e+03,3.300000000000000000e+01
6.235792999999999665e+03,1.500000000000000000e+01
6.238243999999999687e+03,0.000000000000000000e+00
6.238970000000000255e+03,1.500000000000000000e+01
6.239081799999999930e+03,3.900000000000000000e+01
6.239542999999999665e+03,3.000000000000000000e+01
6.241416199999999662e+03,1.300000000000000000e+02
6.241694000000000415e+03,3.000000000000000000e+01
6.243103000000000065e+03,0.000000000000000000e+00
6.245040899999999965e+03,2.000000000000000000e+02
6.245618300000000090e+03,2.000000000000000000e+02
6.246929699999999684e+03,1.200000000000000000e+02
6.248118800000000192e+03,1.200000000000000000e+02
6.256106999999999971e+03,7.000000000000000000e+00
6.256751000000000204e+03,1.600000000000000000e+01
6.256928899999999885e+03,1.200000000000000000e+02
6.258606799999999566e+03,5.500000000000000000e+02
6.261064360000000306e+03,1.100000000000000000e+03
6.262805000000000291e+03,4.000000000000000000e+00
6.264314000000000306e+03,2.300000000000000000e+01
6.266173700000000281e+03,3.900000000000000000e+02
6.274116640000000189e+03,2.000000000000000000e+03
6.275206000000000131e+03,1.200000000000000000e+01
6.277238500000000386e+03,5.800000000000000000e+02
6.279166599999999562e+03,7.900000000000000000e+02
6.285278000000000247e+03,6.300000000000000000e+02
6.289488199999999779e+03,3.000000000000000000e+02
6.295061200000000099e+03,4.400000000000000000e+01
6.302019000000000233e+03,4.000000000000000000e+00
6.304242299999999886e+03,3.200000000000000000e+02
6.321168700000000172e+03,6.400000000000000000e+01
6.321631000000000313e+03,1.200000000000000000e+01
6.322207000000000335e+03,2.400000000000000000e+01
6.322537999999999556e+03,1.000000000000000000e+01
6.323842099999999846e+03,1.900000000000000000e+02
6.328760699999999815e+03,1.000000000000000000e+02
6.332511800000000221e+03,2.100000000000000000e+02
6.338905999999999949e+03,2.300000000000000000e+01
6.348561399999999594e+03,6.000000000000000000e+01
6.356219799999999850e+03,7.700000000000000000e+01
6.358621199999999590e+03,4.800000000000000000e+02
6.359134500000000116e+03,2.300000000000000000e+02
6.363271600000000035e+03,2.200000000000000000e+02
6.377494999999999891e+03,3.100000000000000000e+01
6.378760500000000320e+03,1.700000000000000000e+02
6.379173499999999876e+03,8.400000000000000000e+01
6.379792999999999665e+03,2.500000000000000000e+01
6.380473699999999553e+03,4.100000000000000000e+01
6.381972999999999956e+03,2.300000000000000000e+01
6.383224400000000060e+03,6.300000000000000000e+01
6.383342200000000048e+03,3.500000000000000000e+02
6.387864700000000084e+03,3.300000000000000000e+01
6.394698599999999715e+03,6.300000000000000000e+01
6.402935300000000097e+03,7.300000000000000000e+01
6.408598500000000058e+03,3.200000000000000000e+02
6.416101899999999659e+03,5.300000000000000000e+02
6.424812700000000405e+03,4.600000000000000000e+02
6.432957599999999729e+03,3.400000000000000000e+01
6.436462000000000444e+03,1.200000000000000000e+01
6.438382999999999811e+03,8.400000000000000000e+01
6.439029000000000451e+03,1.700000000000000000e+02
6.448725800000000163e+03,8.000000000000000000e+01
6.452845000000000255e+03,6.000000000000000000e+00
6.455489999999999782e+03,1.200000000000000000e+01
6.471092999999999847e+03,1.300000000000000000e+01
6.471213200000000143e+03,4.300000000000000000e+02
6.478942000000000007e+03,1.500000000000000000e+01
6.480610999999999876e+03,3.900000000000000000e+01
6.485375900000000001e+03,1.400000000000000000e+02
6.490583999999999833e+03,8.100000000000000000e+01
6.494980999999999767e+03,1.200000000000000000e+01
6.503511199999999917e+03,4.300000000000000000e+02
6.509488000000000284e+03,1.600000000000000000e+01
6.510996900000000096e+03,1.900000000000000000e+02
6.511251800000000003e+03,2.000000000000000000e+02
6.511354900000000271e+03,2.100000000000000000e+02
6.518444300000000112e+03,9.500000000000000000e+01
6.518962999999999738e+03,1.700000000000000000e+01
6.520938000000000102e+03,7.100000000000000000e+01
6.529947000000000116e+03,0.000000000000000000e+00
6.531769000000000233e+03,0.000000000000000000e+00
6.532221300000000156e+03,1.300000000000000000e+02
6.535645000000000437e+03,1.700000000000000000e+01
6.540140999999999622e+03,7.400000000000000000e+01
6.544596999999999753e+03,1.800000000000000000e+01
6.546775999999999840e+03,1.500000000000000000e+01
6.550547499999999673e+03,1.000000000000000000e+02
6.558576000000000022e+03,1.800000000000000000e+01
6.559087400000000343e+03,1.700000000000000000e+02
6.560057399999999689e+03,2.600000000000000000e+02
6.561243999999999687e+03,0.000000000000000000e+00
6.561462000000000444e+03,0.000000000000000000e+00
6.561565999999999804e+03,1.800000000000000000e+01
6.564960000000000036e+03,2.100000000000000000e+01
6.565895000000000437e+03,3.000000000000000000e+01
6.566198999999999614e+03,1.300000000000000000e+01
6.569056999999999789e+03,9.400000000000000000e+01
6.569632200000000012e+03,4.500000000000000000e+02
6.570096999999999753e+03,1.800000000000000000e+01
