Wavelength,Intensity
6.061535399999999754e+03,2.900000000000000000e+02
6.061628700000000208e+03,5.100000000000000000e+01
6.062225000000000364e+03,1.100000000000000000e+01
6.064288999999999760e+03,1.100000000000000000e+01
6.065345999999999549e+03,3.300000000000000000e+01
6.065779999999999745e+03,6.000000000000000000e+02
6.066237000000000080e+03,1.100000000000000000e+01
6.068136000000000422e+03,1.100000000000000000e+01
6.069020379999999932e+03,9.200000000000000000e+02
6.069672999999999774e+03,1.500000000000000000e+01
6.069840299999999843e+03,4.800000000000000000e+01
6.070341199999999844e+03,1.800000000000000000e+02
6.070457999999999629e+03,1.100000000000000000e+01
6.071551900000000387e+03,5.200000000000000000e+01
6.071801999999999680e+03,1.100000000000000000e+01
6.071980999999999767e+03,1.700000000000000000e+02
6.072060999999999694e+03,3.400000000000000000e+01
6.072799299999999675e+03,1.000000000000000000e+02
6.072896300000000338e+03,6.300000000000000000e+01
6.073301999999999680e+03,6.000000000000000000e+00
6.073555000000000291e+03,1.600000000000000000e+01
6.074003999999999905e+03,2.200000000000000000e+01
6.074220999999999549e+03,5.000000000000000000e+00
6.076987000000000080e+03,1.800000000000000000e+01
6.077105620000000272e+03,1.300000000000000000e+03
6.077872809999999845e+03,2.200000000000000000e+03
6.078421210000000428e+03,1.300000000000000000e+03
6.079222700000000259e+03,2.100000000000000000e+03
6.079472399999999652e+03,2.900000000000000000e+02
6.080899999999999636e+03,5.800000000000000000e+01
6.081298999999999978e+03,1.100000000000000000e+01
6.082560999999999694e+03,1.200000000000000000e+02
6.082668999999999869e+03,4.600000000000000000e+01
6.082909999999999854e+03,2.300000000000000000e+01
6.083243199999999888e+03,4.000000000000000000e+01
6.083533000000000357e+03,2.300000000000000000e+01
6.084121000000000095e+03,3.400000000000000000e+01
6.084485999999999876e+03,2.300000000000000000e+01
6.085374679999999898e+03,2.200000000000000000e+03
6.085956600000000435e+03,5.000000000000000000e+01
6.086451600000000326e+03,5.000000000000000000e+01
6.086702199999999721e+03,9.100000000000000000e+01
6.088030380000000150e+03,4.700000000000000000e+03
6.088203000000000429e+03,1.100000000000000000e+02
6.088458999999999833e+03,4.500000000000000000e+01
6.088824499999999716e+03,8.700000000000000000e+01
6.090240999999999985e+03,1.100000000000000000e+01
6.090448300000000017e+03,1.400000000000000000e+02
6.090606999999999971e+03,2.200000000000000000e+01
6.093239999999999782e+03,9.100000000000000000e+01
6.093557999999999993e+03,1.100000000000000000e+01
6.093813000000000102e+03,5.700000000000000000e+01
6.094088999999999942e+03,1.100000000000000000e+02
6.095046500000000378e+03,9.500000000000000000e+01
6.095225000000000364e+03,3.000000000000000000e+01
6.095389000000000124e+03,1.100000000000000000e+01
6.095432999999999993e+03,2.600000000000000000e+01
